time, ECG, accX, accY, accZ, gyroX, gyroY, gyroZ, temp
3148, 2021, 10.419566, 0.184354, -2.171541, -0.146288, 0.148686, -0.038637, 32.927059
3158, 2032, 10.287885, 0.227449, -2.161964, -0.115112, 0.105786, -0.043966, 32.932941
3168, 2023, 10.146626, 0.325611, -2.123657, -0.094061, 0.085268, -0.036505, 32.947647
3178, 2133, 10.060435, 0.385466, -2.090138, -0.080205, 0.078606, -0.029577, 32.944706
3188, 2119, 9.991004, 0.440533, -2.025495, -0.066083, 0.075942, -0.020518, 32.950588
3198, 2093, 9.919178, 0.483629, -2.003947, -0.045032, 0.080738, -0.015455, 32.959412
3208, 2099, 9.923966, 0.574608, -2.006341, -0.017054, 0.088732, -0.019452, 32.962353
3218, 2101, 9.938332, 0.727837, -1.963245, 0.007461, 0.088732, -0.035972, 32.950588
3228, 1995, 9.998186, 0.826000, -1.934515, 0.019185, 0.081804, -0.060221, 32.968235
3238, 1965, 10.091560, 0.861913, -1.836353, 0.031176, 0.062619, -0.086600, 32.947647
3248, 2103, 10.077195, 0.876278, -1.754950, 0.043966, 0.027979, -0.105786, 32.938824
3258, 2066, 9.967062, 0.830788, -1.786075, 0.037038, -0.005063, -0.121240, 32.956470
3268, 1954, 9.873688, 0.782904, -1.786075, 0.023715, -0.013323, -0.131100, 32.950588
3278, 1905, 9.818622, 0.684742, -1.776498, 0.018919, -0.013057, -0.131366, 32.941765
3288, 1872, 9.753978, 0.670376, -1.750161, 0.037038, -0.011724, -0.130833, 32.941765
3298, 1855, 9.773131, 0.679953, -1.833959, 0.064217, -0.007727, -0.120175, 32.927059
3308, 1863, 9.835381, 0.687136, -1.841141, 0.100190, -0.009859, -0.106851, 32.930000
3318, 1882, 9.835381, 0.663194, -1.848324, 0.136962, -0.032242, -0.084202, 32.947647
3328, 1850, 9.823410, 0.584185, -1.980005, 0.163874, -0.062352, -0.047697, 32.944706
3338, 1889, 9.801862, 0.462081, -2.138022, 0.167338, -0.081005, -0.006662, 32.932941
3348, 1843, 9.825804, 0.339977, -2.245761, 0.139093, -0.098325, 0.011191, 32.941765
3358, 1778, 9.880871, 0.272939, -2.229002, 0.099657, -0.116977, 0.018119, 32.927059
3368, 1647, 9.892841, 0.220267, -2.126051, 0.078074, -0.136429, 0.027979, 32.947647
3378, 2263, 9.871294, 0.155623, -2.087744, 0.066882, -0.142291, 0.044766, 32.941765
3388, 3743, 9.830592, 0.098162, -2.130840, 0.043167, -0.135363, 0.060487, 32.941765
3398, 3344, 9.799467, 0.067038, -2.185906, 0.000266, -0.122040, 0.074609, 32.953529
3408, 2115, 9.828198, 0.035913, -2.274492, -0.052227, -0.111381, 0.080738, 32.944706
3418, 1822, 9.892841, 0.047884, -2.370260, -0.093528, -0.110049, 0.072478, 32.953529
